ad_id,page_id,comentarios,nombre_del_anuncio,motivo,primeras_palabras_del_cuerpo
"120250110140190189","604752319885731","76","ADCREATIVE_01","⚠ sin cuerpo legible — 76 comentarios · ADCREATIVE_01",""
"120243414321150756","357436254130755","26","ADCREATIVE_02","⚠ ninguna palabra clave en el cuerpo — 26 comentarios · ADCREATIVE_02","¿Te han hablado de operar el túnel carpiano, de vivir a base de pastillas o de “aguantar” el dolor de muñeca? Es normal "
"120243414321200756","357436254130755","26","ADCREATIVE_02","⚠ ninguna palabra clave en el cuerpo — 26 comentarios · ADCREATIVE_02","¿Te han hablado de operar el túnel carpiano, de vivir a base de pastillas o de “aguantar” el dolor de muñeca? Es normal "
"120243414321190756","357436254130755","26","ADCREATIVE_02","⚠ ninguna palabra clave en el cuerpo — 26 comentarios · ADCREATIVE_02","¿Te han hablado de operar el túnel carpiano, de vivir a base de pastillas o de “aguantar” el dolor de muñeca? Es normal "
"120238898883800756","357436254130755","26","ADCREATIVE_02","⚠ ninguna palabra clave en el cuerpo — 26 comentarios · ADCREATIVE_02","¿Te han hablado de operar el túnel carpiano, de vivir a base de pastillas o de “aguantar” el dolor de muñeca? Es normal "
"120250992137020189","604752319885731","18","ADVIDEO1","⚠ ninguna palabra clave en el cuerpo — 18 comentarios · ADVIDEO1","🐶🐱 Tu mascota te encanta. Encontrar sus pelos por toda la casa… no tanto. Sofá, cama, ropa, alfombras, asiento del coc"
"120249910573600756","357436254130755","15","AD_3_TR","⚠ ninguna palabra clave en el cuerpo — 15 comentarios · AD_3_TR","¿Te han hablado de operar el túnel carpiano, de vivir a base de pastillas o de “aguantar” el dolor de muñeca? Es normal "
"120246455969590756","357436254130755","15","AD_3_TR","⚠ ninguna palabra clave en el cuerpo — 15 comentarios · AD_3_TR","¿Te han hablado de operar el túnel carpiano, de vivir a base de pastillas o de “aguantar” el dolor de muñeca? Es normal "
"120249910573610756","357436254130755","11","AD_11_TR","⚠ ninguna palabra clave en el cuerpo — 11 comentarios · AD_11_TR","¿Te han hablado de operar el túnel carpiano, de vivir a base de pastillas o de “aguantar” el dolor de muñeca? Es normal "
"120247988863680756","357436254130755","11","AD_11_TR","⚠ ninguna palabra clave en el cuerpo — 11 comentarios · AD_11_TR","¿Te han hablado de operar el túnel carpiano, de vivir a base de pastillas o de “aguantar” el dolor de muñeca? Es normal "
"120242755762200756","357436254130755","10","ADCREATIVE_01","⚠ ninguna palabra clave en el cuerpo — 10 comentarios · ADCREATIVE_01","¿Te despiertas con la mano dormida, hormigueo en los dedos y esa punzada que aparece en cuanto coges el ratón o el móvil"
"120242755762190756","357436254130755","10","ADCREATIVE_01","⚠ ninguna palabra clave en el cuerpo — 10 comentarios · ADCREATIVE_01","¿Te despiertas con la mano dormida, hormigueo en los dedos y esa punzada que aparece en cuanto coges el ratón o el móvil"
"120242755762230756","357436254130755","10","ADCREATIVE_01","⚠ ninguna palabra clave en el cuerpo — 10 comentarios · ADCREATIVE_01","¿Te despiertas con la mano dormida, hormigueo en los dedos y esa punzada que aparece en cuanto coges el ratón o el móvil"
"120238889092790756","357436254130755","10","ADCREATIVE_01","⚠ ninguna palabra clave en el cuerpo — 10 comentarios · ADCREATIVE_01","¿Te despiertas con la mano dormida, hormigueo en los dedos y esa punzada que aparece en cuanto coges el ratón o el móvil"
"120250992315560189","604752319885731","8","ADVIDEO2","⚠ ninguna palabra clave en el cuerpo — 8 comentarios · ADVIDEO2","🐶🐱 Tu mascota te encanta. Encontrar sus pelos por toda la casa… no tanto. Sofá, cama, ropa, alfombras, asiento del coc"
"120250992624160189","604752319885731","3","ADVIDEO3","⚠ ninguna palabra clave en el cuerpo — 3 comentarios · ADVIDEO3","🐶🐱 Tu mascota te encanta. Encontrar sus pelos por toda la casa… no tanto. Sofá, cama, ropa, alfombras, asiento del coc"
"120250903484600189","604752319885731","2","ADVIDEO2","⚠ ninguna palabra clave en el cuerpo — 2 comentarios · ADVIDEO2","⭐ **4,8/5 y más de 180 reseñas verificadas.** Hay productos de skincare que prometen mucho… y otros que terminan convirt"
"120249943971510756","417710594765856","2","AD-POCAS-UNIDADES","⚠ ninguna palabra clave en el cuerpo — 2 comentarios · AD-POCAS-UNIDADES","🔥 QUEDAN POCAS UNIDADES: hasta 70% de descuento por tiempo limitado. Después de horas trabajando con el ordenador, cond"
